product_name,size,milk,whip,serv_size_m_l,calories,total_fat_g,saturated_fat_g,trans_fat_g,cholesterol_mg,sodium_mg,total_carbs_g,fiber_g,sugar_g,caffeine_mg,size_category,fat_percentage,sugar_per_ml,caffeine_density,is_high_calorie
Hot Chocolate,tall,2,1,354,320,13.0,8.0,0.4,45,130,39,3,34,20,medium,3.672316384180791,0.096045197740113,0.05649717514124294,True
Hot Chocolate,tall,5,0,354,280,10.0,6.0,0.3,25,110,37,3,32,20,medium,2.824858757062147,0.0903954802259887,0.05649717514124294,True
Hot Chocolate,tall,5,1,354,350,16.0,10.0,0.4,50,120,39,3,34,20,medium,4.519774011299435,0.096045197740113,0.05649717514124294,True
Hot Chocolate,tall,3,0,354,220,6.0,1.5,0.0,0,95,32,4,25,20,medium,1.694915254237288,0.07062146892655367,0.05649717514124294,True
Hot Chocolate,tall,3,1,354,290,12.0,5.0,0.2,25,100,35,4,28,20,medium,3.389830508474576,0.07909604519774012,0.05649717514124294,True
Hot Chocolate,tall,4,0,354,210,8.0,7.0,0.0,0,110,33,3,28,20,medium,2.2598870056497176,0.07909604519774012,0.05649717514124294,True
Hot Chocolate,tall,4,1,354,280,14.0,10.0,0.2,25,115,36,3,31,20,medium,3.954802259887006,0.08757062146892655,0.05649717514124294,True
Hot Chocolate,grande,1,0,473,270,2.5,1.5,0.0,5,140,47,4,41,25,medium,0.5285412262156448,0.08668076109936575,0.052854122621564484,True
Hot Chocolate,grande,1,1,473,350,10.0,6.0,0.2,35,150,51,4,43,25,medium,2.1141649048625792,0.09090909090909091,0.052854122621564484,True
Hot Chocolate,grande,2,0,473,320,9.0,6.0,0.3,25,160,47,4,41,25,medium,1.9027484143763214,0.08668076109936575,0.052854122621564484,True
Hot Chocolate,grande,2,1,473,400,16.0,10.0,0.5,55,170,50,4,43,25,medium,3.382663847780127,0.09090909090909091,0.052854122621564484,True
Hot Chocolate,grande,5,0,473,360,13.0,8.0,0.3,35,150,47,4,41,25,medium,2.748414376321353,0.08668076109936575,0.052854122621564484,True
Hot Chocolate,grande,5,1,473,440,20.0,12.0,0.5,60,150,50,4,43,25,medium,4.2283298097251585,0.09090909090909091,0.052854122621564484,True
Hot Chocolate,grande,3,0,473,280,8.0,2.0,0.0,0,125,41,5,32,25,medium,1.6913319238900635,0.06765327695560254,0.052854122621564484,True
Hot Chocolate,grande,3,1,473,360,15.0,7.0,0.2,25,130,44,5,35,25,medium,3.171247357293869,0.07399577167019028,0.052854122621564484,True
Hot Chocolate,grande,4,0,473,270,10.0,9.0,0.0,0,140,42,4,35,25,medium,2.1141649048625792,0.07399577167019028,0.052854122621564484,True
Hot Chocolate,grande,4,1,473,350,17.0,13.0,0.2,25,150,46,4,38,30,medium,3.5940803382663846,0.080338266384778,0.06342494714587738,True
Hot Chocolate,venti,1,0,591,350,3.5,2.0,0.0,10,180,63,5,55,35,large,0.5922165820642978,0.09306260575296109,0.05922165820642978,True
Hot Chocolate,venti,1,1,591,430,10.0,6.0,0.2,35,190,66,5,58,35,large,1.6920473773265652,0.09813874788494077,0.05922165820642978,True
Hot Chocolate,venti,2,0,591,420,11.0,7.0,0.4,35,200,62,5,55,35,large,1.8612521150592216,0.09306260575296109,0.05922165820642978,True
Hot Chocolate,venti,2,1,591,500,19.0,12.0,0.5,60,210,66,5,57,35,large,3.2148900169204735,0.09644670050761421,0.05922165820642978,True
Hot Chocolate,venti,5,0,591,470,17.0,10.0,0.4,45,190,62,5,55,35,large,2.8764805414551606,0.09306260575296109,0.05922165820642978,True
Hot Chocolate,venti,5,1,591,550,24.0,14.0,0.5,70,190,66,5,57,35,large,4.060913705583756,0.09644670050761421,0.05922165820642978,True
Hot Chocolate,venti,3,0,591,370,9.0,2.5,0.0,0,160,55,7,44,35,large,1.5228426395939088,0.07445008460236886,0.05922165820642978,True
Hot Chocolate,venti,3,1,591,450,17.0,7.0,0.2,25,170,58,7,46,35,large,2.8764805414551606,0.077834179357022,0.05922165820642978,True
Hot Chocolate,venti,4,0,591,360,13.0,11.0,0.0,0,180,57,5,48,35,large,2.199661590524535,0.08121827411167512,0.05922165820642978,True
Hot Chocolate,venti,4,1,591,430,20.0,15.0,0.2,25,190,60,5,51,35,large,3.3840947546531304,0.08629441624365482,0.05922165820642978,True
Lemonade,tall,0,0,354,80,0.0,0.0,0.0,0,0,21,0,21,0,medium,0.0,0.059322033898305086,0.0,False
Lemonade,grande,0,0,473,110,0.0,0.0,0.0,0,1,29,0,21,0,medium,0.0,0.04439746300211417,0.0,False
Lemonade,venti,0,0,709,150,0.0,0.0,0.0,0,1,41,0,41,0,large,0.0,0.05782792665726375,0.0,False
Lemonade,trenta,0,0,887,180,0.0,0.0,0.0,0,1,49,0,49,0,large,0.0,0.0552423900789177,0.0,False
Skinny Hot Chocolate,short,0,0,236,80,1.0,0.5,0.0,5,85,12,2,8,0,small,0.423728813559322,0.03389830508474576,0.0,False
Skinny Hot Chocolate,tall,0,0,354,130,1.5,1.0,0.1,5,125,18,3,13,0,medium,0.423728813559322,0.03672316384180791,0.0,False
Skinny Hot Chocolate,grande,0,0,473,170,1.5,1.0,0.1,5,160,24,4,17,0,medium,0.3171247357293869,0.035940803382663845,0.0,False
Skinny Hot Chocolate,venti,0,0,591,210,2.0,1.5,0.1,10,210,30,5,21,0,large,0.338409475465313,0.03553299492385787,0.0,True
White Hot Chocolate,short,1,0,236,180,3.0,2.5,0.0,5,125,31,0,30,0,small,1.2711864406779663,0.1271186440677966,0.0,False
White Hot Chocolate,short,1,1,236,230,8.0,6.0,0.2,25,130,32,0,32,0,small,3.389830508474576,0.13559322033898305,0.0,True
White Hot Chocolate,short,2,0,236,210,6.0,4.0,0.1,15,135,30,0,30,0,small,2.5423728813559325,0.1271186440677966,0.0,True
White Hot Chocolate,short,2,1,236,260,11.0,7.0,0.3,35,140,32,0,31,0,small,4.661016949152542,0.13135593220338984,0.0,True
White Hot Chocolate,short,5,0,236,220,8.0,5.0,0.2,20,125,30,0,30,0,small,3.389830508474576,0.1271186440677966,0.0,True
White Hot Chocolate,short,5,1,236,280,14.0,9.0,0.3,40,130,32,0,31,0,small,5.932203389830509,0.13135593220338984,0.0,True
White Hot Chocolate,short,3,0,236,190,5.0,2.5,0.0,5,115,27,1,26,0,small,2.11864406779661,0.11016949152542373,0.0,False
White Hot Chocolate,short,3,0,236,240,11.0,6.0,0.2,20,120,29,1,27,0,small,4.661016949152542,0.11440677966101695,0.0,True
White Hot Chocolate,short,4,0,236,180,7.0,6.0,0.0,5,125,28,0,28,0,small,2.9661016949152543,0.11864406779661017,0.0,False
White Hot Chocolate,short,4,1,236,230,12.0,9.0,0.2,20,130,30,0,29,0,small,5.084745762711865,0.1228813559322034,0.0,True
White Hot Chocolate,tall,1,0,354,270,4.5,3.5,0.0,10,190,46,0,46,0,medium,1.2711864406779663,0.12994350282485875,0.0,True
White Hot Chocolate,tall,1,1,354,330,11.0,7.0,0.2,30,200,48,0,47,0,medium,3.1073446327683616,0.1327683615819209,0.0,True
White Hot Chocolate,tall,2,0,354,310,9.0,6.0,0.2,25,200,46,0,46,0,medium,2.5423728813559325,0.12994350282485875,0.0,True
White Hot Chocolate,tall,2,1,354,370,16.0,10.0,0.3,45,210,48,0,47,0,medium,4.519774011299435,0.1327683615819209,0.0,True
White Hot Chocolate,tall,5,0,354,340,13.0,8.0,0.3,30,190,46,0,46,0,medium,3.672316384180791,0.12994350282485875,0.0,True
White Hot Chocolate,tall,5,1,354,400,19.0,12.0,0.4,55,200,48,0,47,0,medium,5.367231638418079,0.1327683615819209,0.0,True
White Hot Chocolate,tall,3,0,354,280,8.0,4.0,0.0,5,180,41,1,39,0,medium,2.2598870056497176,0.11016949152542373,0.0,True
White Hot Chocolate,tall,3,1,354,340,14.0,8.0,0.2,25,180,43,1,40,0,medium,3.954802259887006,0.11299435028248588,0.0,True
White Hot Chocolate,tall,4,0,354,270,10.0,9.0,0.0,5,190,42,0,42,0,medium,2.824858757062147,0.11864406779661017,0.0,True
White Hot Chocolate,tall,4,1,354,330,16.0,13.0,0.2,25,190,44,0,43,0,medium,4.519774011299435,0.12146892655367232,0.0,True
White Hot Chocolate,grande,1,0,473,360,6.0,5.0,0.0,10,250,61,0,61,0,medium,1.2684989429175475,0.12896405919661733,0.0,True
White Hot Chocolate,grande,1,1,473,430,13.0,9.0,0.2,40,260,63,0,62,0,medium,2.748414376321353,0.13107822410147993,0.0,True
White Hot Chocolate,grande,2,0,473,410,12.0,8.0,0.2,30,270,61,0,60,0,medium,2.536997885835095,0.12684989429175475,0.0,True
White Hot Chocolate,grande,2,1,473,480,19.0,12.0,0.4,60,270,63,0,62,0,medium,4.0169133192389,0.13107822410147993,0.0,True
White Hot Chocolate,grande,5,0,473,450,17.0,11.0,0.3,40,250,61,0,60,0,medium,3.5940803382663846,0.12684989429175475,0.0,True
White Hot Chocolate,grande,5,1,473,520,24.0,15.0,0.5,65,260,63,0,62,0,medium,5.07399577167019,0.13107822410147993,0.0,True
White Hot Chocolate,grande,3,0,473,370,11.0,5.0,0.0,5,230,55,1,52,0,medium,2.3255813953488373,0.10993657505285412,0.0,True
White Hot Chocolate,grande,3,1,473,440,18.0,10.0,0.2,30,240,57,1,53,0,medium,3.8054968287526427,0.11205073995771671,0.0,True
White Hot Chocolate,grande,4,0,473,360,13.0,12.0,0.0,5,250,56,0,55,0,medium,2.748414376321353,0.11627906976744186,0.0,True
White Hot Chocolate,grande,4,1,473,430,20.0,16.0,0.2,30,250,58,0,57,0,medium,4.2283298097251585,0.12050739957716702,0.0,True
White Hot Chocolate,venti,1,0,591,450,7.0,6.0,0.0,15,320,77,0,77,0,large,1.1844331641285957,0.13028764805414553,0.0,True
White Hot Chocolate,venti,1,1,591,520,14.0,10.0,0.2,40,320,79,0,78,0,large,2.3688663282571913,0.1319796954314721,0.0,True
White Hot Chocolate,venti,2,0,591,520,16.0,10.0,0.3,40,340,76,0,76,0,large,2.707275803722504,0.12859560067681894,0.0,True
White Hot Chocolate,venti,2,1,591,590,23.0,15.0,0.5,65,350,78,0,78,0,large,3.8917089678511,0.1319796954314721,0.0,True
White Hot Chocolate,venti,5,0,591,570,21.0,14.0,0.4,50,320,76,0,76,0,large,3.5532994923857872,0.12859560067681894,0.0,True
White Hot Chocolate,venti,5,1,591,640,28.0,18.0,0.5,75,330,78,0,78,0,large,4.737732656514383,0.1319796954314721,0.0,True
White Hot Chocolate,venti,3,0,591,470,14.0,7.0,0.0,5,290,69,2,65,0,large,2.3688663282571913,0.10998307952622674,0.0,True
White Hot Chocolate,venti,3,1,591,540,21.0,11.0,0.2,30,300,71,2,67,0,large,3.5532994923857872,0.11336717428087986,0.0,True
White Hot Chocolate,venti,4,0,591,450,17.0,15.0,0.0,5,310,71,0,69,0,large,2.8764805414551606,0.116751269035533,0.0,True
White Hot Chocolate,venti,4,1,591,520,24.0,20.0,0.2,30,320,73,0,71,0,large,4.060913705583756,0.12013536379018612,0.0,True
Protein & Fibre Powder,1 scoop,0,0,0,30,0.1,0.1,0.0,0,45,1,1,0,0,small,inf,,,False
